"date","type","registration","operator","fat.","location","Var.7","pic","cat","occurence","year","passenger.x","passenger.y","passenger"
"27-MAY-1933","Junkers Ju-52/1mcai","D-2356","RDL","","Zechliner Hütte",NA,NA,"A1",1,"1933",NA,NA,NA
"02-JUN-1933","Ford 4-AT-E Tri-Motor","NR9614","Plane Speaker Corporation","0","Hempstead-Ro...",NA,NA,"O1",1,"1933",NA,NA,NA
"11-AUG-1933","Dornier Do R4 Superwal","I-RATA","SANA","0","Valencia",NA,NA,"A1",1,"1933",NA,NA,NA
"13-AUG-1933","Junkers PS-5 (G.24)","CCCP-L743","Dobrolet","","",NA,NA,"U1",1,"1933",NA,NA,NA
"29-AUG-1933","Ford 5-AT-B Tri-Motor","NC9607","TWA","5","Quay, NM",NA,NA,"A1",1,"1933",NA,NA,NA
"21-SEP-1933","Curtiss T-32 Condor II","NC12373","Eastern Air Transport","","Newark, NJ",NA,NA,"A1",1,"1933",NA,NA,NA
"18-OCT-1933","Ford 4-AT-B Tri-Motor","NC4806","Private","3","Managua",NA,NA,"A1",1,"1933",NA,NA,NA
"21-NOV-1933","Kalinin K-7","","Kalinin Design Bureau","14+ 1","Kharkov",NA,NA,"A1",1,"1933",NA,NA,NA
"15-JAN-1934","Dewoitine D.332","F-AMMY","Air France","10","Corbigny",NA,NA,"A1",1,"1934",NA,NA,NA
"05-MAR-1934","Ford 4-AT-B Tri-Motor","NC7120","Morgan Air Lines","1","Toncontín",NA,NA,"A1",1,"1934",NA,NA,NA
"10-MAR-1934","Junkers F.24k2ay (G.24)","D-1019","Deutsche Lufthansa",NA,"Gliwice",NA,NA,"A1",1,"1934",NA,NA,NA
"22-MAR-1934","Ford 5-AT-C Tri-Motor","NC407H","Panagra","3","Lima Airport...",NA,NA,"A1",1,"1934",NA,NA,NA
"09-JUN-1934","Curtiss T-32 Condor II","NC12354","American Airways","7","Mongaup Moun...",NA,NA,"A1",1,"1934",NA,NA,NA
"11-JUN-1934","Ford C-4A (5-AT-D) Tri-Motor","31-403","USAAC","0","Camp Skeel, ...",NA,NA,"A1",1,"1934",NA,NA,NA
"11-JUN-1934","Ford 5-AT-C Tri-Motor","NC8417","Panagra","5","Junin",NA,NA,"A1",1,"1934",NA,NA,NA
"23-JUN-1934","Ford 4-AT-B Tri-Motor","NC7685","Mulzer Flying Service","0","Columbus, OH",NA,NA,"O1",1,"1934",NA,NA,NA
"01-JUL-1934","Ford 4-AT-D Tri-Motor","NC7586","Private","0","Lima, OH",NA,NA,"A1",1,"1934",NA,NA,NA
"27-JUL-1934","Curtiss AT-32C Condor II","CH-170","Swissair","12","Wurmlingen/T...",NA,NA,"A1",1,"1934",NA,NA,NA
"23-AUG-1934","Junkers PS-5 (G.24)","CCCP-L742","Dobrolet",NA,"",NA,NA,"A1",1,"1934",NA,NA,NA
"02-SEP-1934","Ford 5-AT-D Tri-Motor","NC9655","Hanford's Tri-State Airlines","0","Cochrane, WI",NA,NA,"A1",1,"1934",NA,NA,NA
"22-SEP-1934","Handley Page W.10","G-EBMM","National Aviation Displays","4","Aston Clinto...",NA,NA,"A1",1,"1934",NA,NA,NA
"19-OCT-1934","de Havilland DH.86 Express","VH-URN","Holyman's Airways","11","Wilsons Prom...",NA,NA,"A1",1,"1934",NA,NA,NA
"26-OCT-1934","Ford 4-AT-E Tri-Motor","NC8403","Ptarmigan Airlines","0","Flat Airport...",NA,NA,"A1",1,"1934",NA,NA,NA
"29-OCT-1934","Ford 4-AT-.  Tri-Motor","","TACA de Honduras","0","La Ceiba Air...",NA,NA,"O1",1,"1934",NA,NA,NA
