"","date","type","registration","operator","fat.","location","Var.7","pic","cat","occurence"
"16162","21-JUN-1993","DC-9-32","PK-GNT","Garuda","0","Denpasar Bal...",NA,NA,"A1",1
"16163","23-JUN-1993","BN-2T Turbine Islander","9Q-CLW","Shabair","0","Mitwaba",NA,NA,"A1",1
"16164","24-JUN-1993","Antonov An-26","RA-26090","Polyot / Aeroflot","0","Samara Airpo...",NA,NA,"A2",1
"16165","24-JUN-1993","Boeing 737-2T4","B-2501","Xiamen Airlines","0","Taipei",NA,NA,"H2",1
"16166","25-JUN-1993","IAI Arava 201","","Mexican AF","4","El Venadito ...",NA,NA,"A1",1
"16167","28-JUN-1993","Beech 200 Super King Air","ZS-NEP","Trans Namibia Aviation","3","Aminius",NA,NA,"A1",1
"16168","01-JUL-1993","Fokker F-28 Fellowship 3000","PK-GFU","Merpati Nusantara","41","Sorong-Jefma...",NA,NA,"A1",1
"16169","04-JUL-1993","Fokker F-28 Fellowship 3000","3D-ALN","Royal Swazi","0","Johannesburg...",NA,NA,"H2",1
"16170","05-JUL-1993","Ilyushin Il-114","RA-54001","Ilyushin","5","Ramenskoye",NA,NA,"A1",1
"16171","06-JUL-1993","CASA C-212-A62 Aviocar 200","TDF-01","Transkei Army","2","Umtata",NA,NA,"A1",1
"16172","08-JUL-1993","Ilyushin Il-76M","CCCP-86039","Russian AF","11","Pskov Airpor...",NA,NA,"A1",1
"16173","15-JUL-1993","Beech 300 Super King Air","VT-EQM","National Remote Sensing Agency","4","Bombay-Sahar...",NA,NA,"A1",1
"16174","18-JUL-1993","Boeing 737-2H6","N401SH","SAHSA","0","Managua Airp...",NA,NA,"A1",1
"16175","20-JUL-1993","Cessna T-47A Citation II","N12756","Cessna Aircraft","0","Topeka-Forbe...",NA,NA,"O1",1
"16176","20-JUL-1993","Cessna T-47A Citation II","N12761","Cessna Aircraft","0","Topeka-Forbe...",NA,NA,"O1",1
"16177","20-JUL-1993","Cessna T-47A Citation II","N12564","Cessna Aircraft","0","Topeka-Forbe...",NA,NA,"O1",1
"16178","20-JUL-1993","Cessna T-47A Citation II","N12855","Cessna Aircraft","0","Topeka-Forbe...",NA,NA,"O1",1
"16179","20-JUL-1993","Cessna T-47A Citation II","N12763","Cessna Aircraft","0","Topeka-Forbe...",NA,NA,"O1",1
"16180","20-JUL-1993","Cessna T-47A Citation II","N12660","Cessna Aircraft","0","Topeka-Forbe...",NA,NA,"O1",1
"16181","20-JUL-1993","Cessna T-47A Citation II","N12557","Cessna Aircraft","0","Topeka-Forbe...",NA,NA,"O1",1
"16182","20-JUL-1993","Cessna T-47A Citation II","N12762","Cessna Aircraft","0","Topeka-Forbe...",NA,NA,"O1",1
"16183","20-JUL-1993","Cessna T-47A Citation II","N12859","Cessna Aircraft","0","Topeka-Forbe...",NA,NA,"O1",1
"16184","20-JUL-1993","Cessna T-47A Citation II","N12967","Cessna Aircraft","0","Topeka-Forbe...",NA,NA,"O1",1
"16185","20-JUL-1993","Cessna T-47A Citation II","N12669","Cessna Aircraft","0","Topeka-Forbe...",NA,NA,"O1",1
"16186","20-JUL-1993","Cessna T-47A Citation II","N12058","Cessna Aircraft","0","Topeka-Forbe...",NA,NA,"O1",1
"16187","20-JUL-1993","Cessna T-47A Citation II","N12065","Cessna Aircraft","0","Topeka-Forbe...",NA,NA,"O1",1
"16188","21-JUL-1993","Convair CV-580","C-GQHB","Canair Cargo","0","Tofino Airpo...",NA,NA,"A2",1
"16189","22-JUL-1993","Lockheed CC-130E Hercules","130321","Canadian Armed Forces","5","Wainwright A...",NA,NA,"A1",1
"16190","23-JUL-1993","BAe-146-300","B-2716","China Northwest","56","Yinchuan Air...",NA,NA,"A1",1
"16191","25-JUL-1993","Boeing 757-260","","Ethiopian Airlines","0","Djibouti Air...",NA,NA,"H2",1
"16192","26-JUL-1993","Boeing 707-327C","OD-AFY","TMA","0","Amsterdam-Sc...",NA,NA,"A1",1
"16193","26-JUL-1993","Boeing 737-5L9","HL7229","Asiana Airlines","68","Mokpo Airpor...",NA,NA,"A1",1
"16194","26-JUL-1993","Canadair CRJ-100","C-FCRJ","Bombardier","3","Byers, KS",NA,NA,"A1",1
"16195","27-JUL-1993","Convair CV-240","N156PA","Renoun Aviation","0","Boise Air Te...",NA,NA,"A2",1
"16196","30-JUL-1993","Shorts SC.7 Skyvan 3-100","9M-AXM","Hornbill Skyways","1","Long Loyang,...",NA,NA,"A1",1
"16197","31-JUL-1993","Dornier 228-101","9N-ACL","Everest Air","19","Bharatpur Ai...",NA,NA,"A1",1
"16198","02-AUG-1993","Boeing 757-222","N508UA","United Airlines","0","Denver-Stapl...",NA,NA,"A2",1
"16199","04-AUG-1993","Boeing 727-46","HK-2421X","SAM Colombia","0","Bogotá-Eldor...",NA,NA,"O1",1
"16200","07-AUG-1993","Antonov An-12B","RA-11110","Aviakor","0","El Fasher Ai...",NA,NA,"A1",1
"16201","10-AUG-1993","Boeing 767-2J6ER","","Air China","0","Taipei-Chian...",NA,NA,"H2",1
"16202","14-AUG-1993","Tupolev Tu-154","","Aeroflot","0","Moscow-Shere...",NA,NA,"H2",1
"16203","15-AUG-1993","Boeing 737-406","PH-BDS","KLM","0","Düsseldorf A...",NA,NA,"H2",1
